+-----------------------+-----------------------+-----------+-------------+------------+------------------------------------------+-------------------------------+
| TABLE_NAME            | COLUMN_NAME           | DATA_TYPE | IS_NULLABLE | COLUMN_KEY | COLUMN_DEFAULT                           | EXTRA                         |
| users                 | id                    | int       | NO          | PRI        | NULL                                     | auto_increment                |
| users                 | last_name             | varchar   | NO          |            | NULL                                     |                               |
| users                 | first_name            | varchar   | NO          |            | NULL                                     |                               |
| users                 | email                 | varchar   | NO          | UNI        | NULL                                     |                               |
| users                 | sex                   | varchar   | NO          |            | NULL                                     |                               |
| users                 | phone                 | varchar   | NO          | UNI        | NULL                                     |                               |
| users                 | password              | char      | NO          |            | NULL                                     |                               |
| users                 | birth_date            | date      | NO          |            | NULL                                     |                               |
| users                 | status                | enum      | NO          |            | 'Active'                                 |                               |
| users                 | role                  | enum      | NO          |            | 'Customer'                               |                               |
| users                 | profile_img           | varchar   | YES         |            | 'assets/images/profile.jpg'              |                               |
| users                 | user_session          | varchar   | YES         | UNI        | NULL                                     |                               |
| users                 | created_at            | timestamp | NO          |            | current_timestamp()                      |                               |
| users                 | updated_at            | timestamp | NO          |            | current_timestamp()                      | on update current_timestamp() |
| users                 | middle_name           | varchar   | NO          |            | NULL                                     |                               |
| variation_options     | id                    | int       | NO          | PRI        | NULL                                     | auto_increment                |
| variation_options     | variation_id          | int       | NO          | MUL        | NULL                                     |                               |
| variation_options     | name                  | varchar   | NO          |            | NULL                                     |                               |
| variation_options     | add_price             | decimal   | YES         |            | 0.00                                     |                               |
| variation_options     | subtract_price        | decimal   | YES         |            | 0.00                                     |                               |
| variation_options     | image                 | varchar   | YES         |            | NULL                                     |                               |
| verification          | user_id               | int       | NO          | PRI        | NULL                                     |                               |
| verification          | verification_token    | varchar   | NO          |            | NULL                                     |                               |
| verification          | token_expiration      | datetime  | NO          |            | NULL                                     |                               |
| verification          | is_verified           | tinyint   | YES         |            | 0                                        |                               |
| verification          | last_sent             | varchar   | YES         |            | NULL                                     |                               |
+-----------------------+-----------------------+-----------+-------------+------------+------------------------------------------+-------------------------------+
